,Z,N,A,half_life,half_life_unit,half_life_type,br_alpha,br_alpha_type,half_life_alpha,half_life_alpha_unit,Q_alpha,Q_alpha_unit
88Y,39,49,88,106.626,d,symmetric,,,,,-6.9649700999999995,MeV
87Y,39,48,87,79.89,h,symmetric,,,,,-6.3726635,MeV
80Y,39,41,80,30.1,s,symmetric,,,,,-3.0939896,MeV
79Y,39,40,79,14.8,s,symmetric,,,,,-3.0091491,MeV
82Y,39,43,82,8.3,s,symmetric,,,,,-3.5535859999999997,MeV
81Y,39,42,81,70.4,s,symmetric,,,,,-3.3073346000000003,MeV
84Y,39,45,84,40.1,m,symmetric,,,,,-4.1438787,MeV
83Y,39,44,83,7.08,m,symmetric,,,,,-3.8278097,MeV
75Y,39,36,75,,,,,,,,-1.955,MeV
77Y,39,38,77,57,ms,asymmetric,,,,,-2.852,MeV
76Y,39,37,76,24,ms,asymmetric,,,,,-2.345,MeV
78Y,39,39,78,50,ms,symmetric,,,,,-2.682,MeV
110Y,39,71,110,,,,,,,,,
111Y,39,72,111,,,,,,,,,
109Zr,40,69,109,56,ms,symmetric,,,,,-9.964,MeV
108Zr,40,68,108,77.4,ms,symmetric,,,,,-9.615,MeV
107Zr,40,67,107,146,ms,symmetric,,,,,-9.165000000000001,MeV
106Zr,40,66,106,178,ms,symmetric,,,,,-9.015,MeV
101Zr,40,61,101,2.32,s,symmetric,,,,,-7.0052287,MeV
100Zr,40,60,100,7.1,s,symmetric,,,,,-5.879403900000001,MeV
105Zr,40,65,105,670,ms,symmetric,,,,,-8.5582752,MeV
104Zr,40,64,104,922,ms,symmetric,,,,,-8.3250712,MeV
103Zr,40,63,103,1.38,s,symmetric,,,,,-7.7153826,MeV
102Zr,40,62,102,2.01,s,symmetric,,,,,-7.5839543,MeV
98Zr,40,58,98,30.7,s,symmetric,,,,,-4.860952500000001,MeV
97Zr,40,57,97,16.749,h,symmetric,,,,,-5.2757651999999995,MeV
96Zr,40,56,96,22948103245991400000,y,asymmetric,,,,,-4.9964051000000005,MeV
95Zr,40,55,95,64.032,d,symmetric,,,,,-4.4329066,MeV
99Zr,40,59,99,2.1,s,symmetric,,,,,-4.9243017,MeV
90Zr,40,50,90,STABLE,,,,,,,-6.674363400000001,MeV
94Zr,40,54,94,STABLE,,,,,,,-3.7433025,MeV
93Zr,40,53,93,1610882,y,symmetric,,,,,-3.3379171000000003,MeV
92Zr,40,52,92,STABLE,,,,,,,-2.9623109,MeV
91Zr,40,51,91,STABLE,,,,,,,-5.4404314000000005,MeV
87Zr,40,47,87,1.68,h,symmetric,,,,,-4.9744469,MeV
86Zr,40,46,86,16.5,h,symmetric,,,,,-4.383877000000001,MeV
85Zr,40,45,85,7.86,m,symmetric,,,,,-4.0719778,MeV
84Zr,40,44,84,26,m,symmetric,,,,,-3.5351406,MeV
89Zr,40,49,89,78.364,h,symmetric,,,,,-6.1995999,MeV
88Zr,40,48,88,83.4,d,symmetric,,,,,-5.4042094,MeV
83Zr,40,43,83,41.5,s,symmetric,,,,,-2.8569112,MeV
82Zr,40,42,82,32,s,symmetric,,,,,-2.8650297,MeV
81Zr,40,41,81,5,s,symmetric,,,,,-2.1458909,MeV
80Zr,40,40,80,4.6,s,symmetric,,,,,-2.9370000000000003,MeV
79Zr,40,39,79,56,ms,symmetric,,,,,-2.577,MeV
78Zr,40,38,78,,,,,,,,-2.447,MeV
77Zr,40,37,77,,,,,,,,-2.075,MeV
112Zr,40,72,112,30,ms,asymmetric,,,,,,
111Zr,40,71,111,24,ms,symmetric,,,,,-10.655,MeV
110Zr,40,70,110,37.6,ms,symmetric,,,,,-10.344,MeV
113Zr,40,73,113,,,,,,,,,
114Zr,40,74,114,,,,,,,,,
80Nb,41,39,80,,,,,,,,-2.595,MeV
79Nb,41,38,79,,,,,,,,-2.255,MeV
114Nb,41,73,114,17,ms,symmetric,,,,,,
113Nb,41,72,113,32,ms,symmetric,,,,,-10.154,MeV
112Nb,41,71,112,38,ms,symmetric,,,,,-9.715,MeV
111Nb,41,70,111,54,ms,symmetric,,,,,-9.415000000000001,MeV
116Nb,41,75,116,,,,,,,,,
115Nb,41,74,115,23,ms,symmetric,,,,,,
110Nb,41,69,110,75,ms,symmetric,,,,,-8.944,MeV
109Nb,41,68,109,107,ms,symmetric,,,,,-8.545,MeV
108Nb,41,67,108,194,ms,symmetric,,,,,-7.890000000000001,MeV
103Nb,41,62,103,1.36,s,symmetric,,,,,-6.8098529,MeV
102Nb,41,61,102,4.3,s,symmetric,,,,,-6.434433100000001,MeV
101Nb,41,60,101,7.2,s,symmetric,,,,,-5.200949,MeV
107Nb,41,66,107,287,ms,symmetric,,,,,-7.6916869,MeV
106Nb,41,65,106,1.097,s,symmetric,,,,,-7.4549528,MeV
105Nb,41,64,105,2.92,s,symmetric,,,,,-7.2856759,MeV
104Nb,41,63,104,4.9,s,symmetric,,,,,-6.9146714000000005,MeV
100Nb,41,59,100,1.4,s,symmetric,,,,,-3.8861757,MeV
99Nb,41,58,99,15,s,symmetric,,,,,-3.5523225000000003,MeV
98Nb,41,57,98,2.86,s,symmetric,,,,,-3.5980554000000002,MeV
97Nb,41,56,97,72.1,m,symmetric,,,,,-3.8005572,MeV
92Nb,41,51,92,34708075,y,symmetric,,,,,-4.5791774,MeV
91Nb,41,50,91,680,y,symmetric,,,,,-6.0445564,MeV
96Nb,41,55,96,23.35,h,symmetric,,,,,-3.2112518,MeV
95Nb,41,54,95,34.991,d,symmetric,,,,,-2.8598664,MeV
94Nb,41,53,94,20381,y,symmetric,,,,,-2.2970667,MeV
93Nb,41,52,93,STABLE,,,,,,,-1.9265536,MeV
89Nb,41,48,89,2.03,h,symmetric,,,,,-5.208539200000001,MeV
88Nb,41,47,88,14.5,m,symmetric,,,,,-4.7020317,MeV
87Nb,41,46,87,3.7,m,symmetric,,,,,-4.0937368,MeV
86Nb,41,45,86,88,s,symmetric,,,,,-3.4948791999999997,MeV
90Nb,41,49,90,14.6,h,symmetric,,,,,-5.803346899999999,MeV
81Nb,41,40,81,40,ns,limit,,,,,-2.347,MeV
85Nb,41,44,85,20.5,s,symmetric,,,,,-2.9916814,MeV
84Nb,41,43,84,9.8,s,symmetric,,,,,-2.4705958999999997,MeV
83Nb,41,42,83,3.9,s,symmetric,,,,,-2.2348911,MeV
82Nb,41,41,82,50,ms,symmetric,,,,,-2.062,MeV
117Nb,41,76,117,,,,,,,,,
112Mo,42,70,112,125,ms,symmetric,,,,,-8.955,MeV
117Mo,42,75,117,22,ms,symmetric,,,,,-11.774000000000001,MeV
118Mo,42,76,118,19,ms,asymmetric,,,,,,
119Mo,42,77,119,,,,,,,,,
113Mo,42,71,113,80,ms,symmetric,,,,,-9.345,MeV
114Mo,42,72,114,58,ms,symmetric,,,,,-9.885,MeV
115Mo,42,73,115,45.6,ms,symmetric,,,,,-10.494,MeV
116Mo,42,74,116,32,ms,symmetric,,,,,-11.215,MeV
110Mo,42,68,110,287,ms,symmetric,,,,,-8.211,MeV
111Mo,42,69,111,186,ms,symmetric,,,,,-8.345,MeV
106Mo,42,64,106,8.73,s,symmetric,,,,,-6.971492100000001,MeV
107Mo,42,65,107,3.5,s,symmetric,,,,,-7.160897200000001,MeV
108Mo,42,66,108,1.106,s,symmetric,,,,,-7.4565535,MeV
109Mo,42,67,109,700,ms,symmetric,,,,,-7.6259268,MeV
102Mo,42,60,102,11.3,m,symmetric,,,,,-4.704024,MeV
103Mo,42,61,103,67.5,s,symmetric,,,,,-5.762577100000001,MeV
104Mo,42,62,104,59.4,s,symmetric,,,,,-6.3959277000000005,MeV
105Mo,42,63,105,36.3,s,symmetric,,,,,-6.5947166,MeV
99Mo,42,57,99,65.936,h,symmetric,,,,,-2.7350817000000003,MeV
100Mo,42,58,100,7066465914278988000,y,asymmetric,,,,,-3.1790846000000004,MeV
101Mo,42,59,101,14.61,m,symmetric,,,,,-3.0081745,MeV
95Mo,42,53,95,STABLE,,,,,,,-2.2411963,MeV
96Mo,42,54,96,STABLE,,,,,,,-2.7607814,MeV
97Mo,42,55,97,STABLE,,,,,,,-2.8475886999999998,MeV
98Mo,42,56,98,STABLE,,,,,,,-3.2715647,MeV
92Mo,42,50,92,STABLE,,,,,,,-5.6046291,MeV
93Mo,42,51,93,4000,y,symmetric,,,,,-4.3540211,MeV
94Mo,42,52,94,STABLE,,,,,,,-2.0664479,MeV
88Mo,42,46,88,8,m,symmetric,,,,,-3.6897767,MeV
89Mo,42,47,89,2.04,m,symmetric,,,,,-4.2646638999999995,MeV
90Mo,42,48,90,5.56,h,symmetric,,,,,-4.628406699999999,MeV
91Mo,42,49,91,15.49,m,symmetric,,,,,-5.2866035,MeV
84Mo,42,42,84,2.3,s,symmetric,,,,,-1.835,MeV
85Mo,42,43,85,3.2,s,symmetric,,,,,-2.4102578,MeV
86Mo,42,44,86,19.1,s,symmetric,,,,,-2.9217797,MeV
87Mo,42,45,87,14.1,s,symmetric,,,,,-3.3980735,MeV
82Mo,42,40,82,,,,,,,,-1.945,MeV
83Mo,42,41,83,6,ms,asymmetric,,,,,-1.995,MeV
81Mo,42,39,81,,,,,,,,-2.285,MeV
101Tc,43,58,101,14.123,m,symmetric,,,,,-3.1667118000000003,MeV
102Tc,43,59,102,5.28,s,symmetric,,,,,-3.473225,MeV
97Tc,43,54,97,4210000,y,symmetric,,,,,-2.4365124000000002,MeV
98Tc,43,55,98,4200000,y,symmetric,,,,,-2.4880667,MeV
99Tc,43,56,99,211100,y,symmetric,,,,,-2.9665136000000003,MeV
100Tc,43,57,100,15.65,s,symmetric,,,,,-2.8430366,MeV
93Tc,43,50,93,2.78,h,symmetric,,,,,-5.4052773,MeV
94Tc,43,51,94,293,m,symmetric,,,,,-3.9217168000000004,MeV
95Tc,43,52,95,19.258,h,symmetric,,,,,-1.8082432,MeV
96Tc,43,53,96,4.27,d,symmetric,,,,,-1.7932738,MeV
90Tc,43,47,90,49.2,s,symmetric,,,,,-4.0155513,MeV
91Tc,43,48,91,3.14,m,symmetric,,,,,-4.5370802999999995,MeV
92Tc,43,49,92,4.23,m,symmetric,,,,,-5.1790638,MeV
86Tc,43,43,86,55,ms,symmetric,,,,,-2.186,MeV
87Tc,43,44,87,2.1,s,symmetric,,,,,-2.5020572000000003,MeV
88Tc,43,45,88,6.4,s,symmetric,,,,,-2.9013749,MeV
89Tc,43,46,89,12.8,s,symmetric,,,,,-3.5400884,MeV
83Tc,43,40,83,,,,,,,,-2.094,MeV
84Tc,43,41,84,,,,,,,,-1.705,MeV
85Tc,43,42,85,100,ns,limit,,,,,-1.9140000000000001,MeV
113Tc,43,70,113,152,ms,symmetric,,,,,-8.546665,MeV
114Tc,43,71,114,118,ms,symmetric,,,,,-8.7152955,MeV
119Tc,43,76,119,22,ms,symmetric,,,,,-11.715,MeV
120Tc,43,77,120,21,ms,symmetric,,,,,-12.194,MeV
121Tc,43,78,121,22,ms,symmetric,,,,,,
122Tc,43,79,122,,,,,,,,,
115Tc,43,72,115,78,ms,symmetric,,,,,-9.261000000000001,MeV
116Tc,43,73,116,57,ms,symmetric,,,,,-9.569,MeV
117Tc,43,74,117,44.5,ms,symmetric,,,,,-10.355,MeV
118Tc,43,75,118,30,ms,symmetric,,,,,-10.755,MeV
112Tc,43,69,112,323,ms,symmetric,,,,,-8.1386503,MeV
103Tc,43,60,103,54.2,s,symmetric,,,,,-4.6934923,MeV
108Tc,43,65,108,5.15,s,symmetric,,,,,-6.5367498,MeV
109Tc,43,66,109,0.88,s,symmetric,,,,,-6.7921978,MeV
110Tc,43,67,110,0.911,s,symmetric,,,,,-7.2568012,MeV
111Tc,43,68,111,350,ms,symmetric,,,,,-7.7257868,MeV
104Tc,43,61,104,18.2,m,symmetric,,,,,-5.1326391000000005,MeV
105Tc,43,62,105,7.64,m,symmetric,,,,,-5.819731300000001,MeV
106Tc,43,63,106,35.7,s,symmetric,,,,,-5.902903500000001,MeV
107Tc,43,64,107,21.2,s,symmetric,,,,,-6.1462153,MeV
125Ru,44,81,125,,,,,,,,,
124Ru,44,80,124,15,ms,symmetric,,,,,,
114Ru,44,70,114,543,ms,symmetric,,,,,-8.1103143,MeV
116Ru,44,72,116,203,ms,symmetric,,,,,-9.014,MeV
115Ru,44,71,115,318,ms,symmetric,,,,,-8.5903979,MeV
122Ru,44,78,122,25,ms,symmetric,,,,,-11.835,MeV
121Ru,44,77,121,30,ms,symmetric,,,,,-11.356,MeV
123Ru,44,79,123,19,ms,symmetric,,,,,-12.395,MeV
118Ru,44,74,118,99,ms,symmetric,,,,,-9.745000000000001,MeV
117Ru,44,73,117,152,ms,symmetric,,,,,-9.265,MeV
120Ru,44,76,120,45,ms,symmetric,,,,,-10.935,MeV
119Ru,44,75,119,69.2,ms,symmetric,,,,,-9.955,MeV
105Ru,44,61,105,4.44,h,symmetric,,,,,-4.8395072,MeV
104Ru,44,60,104,STABLE,,,,,,,-4.3276506,MeV
111Ru,44,67,111,2.12,s,symmetric,,,,,-6.6652664,MeV
110Ru,44,66,110,12.04,s,symmetric,,,,,-6.3695417,MeV
113Ru,44,69,113,0.8,s,symmetric,,,,,-7.6334473,MeV
112Ru,44,68,112,1.75,s,symmetric,,,,,-7.3064913,MeV
107Ru,44,63,107,3.73,m,symmetric,,,,,-5.3331499,MeV
106Ru,44,62,106,371.8,d,symmetric,,,,,-5.1873028,MeV
109Ru,44,65,109,34.4,s,symmetric,,,,,-5.8325835,MeV
108Ru,44,64,108,4.55,m,symmetric,,,,,-5.7425722,MeV
103Ru,44,59,103,39.247,d,symmetric,,,,,-3.7219773000000003,MeV
94Ru,44,50,94,52.1,m,symmetric,,,,,-4.8360038,MeV
100Ru,44,56,100,STABLE,,,,,,,-2.8574178000000003,MeV
99Ru,44,55,99,STABLE,,,,,,,-2.3384283,MeV
102Ru,44,58,102,STABLE,,,,,,,-3.4153703,MeV
101Ru,44,57,101,STABLE,,,,,,,-2.8383281,MeV
96Ru,44,52,96,STABLE,,,,,,,-1.6967139,MeV
95Ru,44,51,95,1.6073,h,symmetric,,,,,-3.6738405,MeV
98Ru,44,54,98,STABLE,,,,,,,-2.2357080000000003,MeV
97Ru,44,53,97,2.8376,d,symmetric,,,,,-1.7384011000000001,MeV
93Ru,44,49,93,59.7,s,symmetric,,,,,-4.626695,MeV
92Ru,44,48,92,3.65,m,symmetric,,,,,-4.0395737,MeV
89Ru,44,45,89,1.33,s,symmetric,,,,,-3.2845795,MeV
88Ru,44,44,88,1.4,s,symmetric,,,,,-2.594,MeV
91Ru,44,47,91,8,s,symmetric,,,,,-3.7799314,MeV
90Ru,44,46,90,11.7,s,symmetric,,,,,-3.1977899,MeV
85Ru,44,41,85,,,,,,,,-1.595,MeV
87Ru,44,43,87,,,,,,,,-1.815,MeV
86Ru,44,42,86,,,,,,,,-1.825,MeV
127Rh,45,82,127,20,ms,asymmetric,,,,,,
126Rh,45,81,126,19,ms,symmetric,,,,,-13.32,MeV
128Rh,45,83,128,,,,,,,,,
125Rh,45,80,125,26.5,ms,symmetric,,,,,-12.714,MeV
116Rh,45,71,116,685,ms,symmetric,,,,,-7.901726200000001,MeV
115Rh,45,70,115,0.99,s,symmetric,,,,,-7.6294686,MeV
118Rh,45,73,118,286,ms,symmetric,,,,,-8.711461400000001,MeV
117Rh,45,72,117,421,ms,symmetric,,,,,-8.510125500000001,MeV
124Rh,45,79,124,32,ms,symmetric,,,,,-12.135,MeV
123Rh,45,78,123,42.2,ms,symmetric,,,,,-11.446,MeV
120Rh,45,75,120,133,ms,symmetric,,,,,-9.831,MeV
119Rh,45,74,119,189,ms,symmetric,,,,,-9.451,MeV
122Rh,45,77,122,52.3,ms,symmetric,,,,,-11.014,MeV
121Rh,45,76,121,73,ms,symmetric,,,,,-10.535,MeV
105Rh,45,60,105,35.341,h,symmetric,,,,,-3.9315933000000003,MeV
107Rh,45,62,107,21.7,m,symmetric,,,,,-4.6847068,MeV
106Rh,45,61,106,30.07,s,symmetric,,,,,-4.2146509,MeV
113Rh,45,68,113,2.8,s,symmetric,,,,,-6.9090311,MeV
112Rh,45,67,112,3.5,s,symmetric,,,,,-6.2331373,MeV
114Rh,45,69,114,1.82,s,symmetric,,,,,-7.1006275,MeV
109Rh,45,64,109,80.8,s,symmetric,,,,,-5.137863500000001,MeV
108Rh,45,63,108,17,s,symmetric,,,,,-4.957102600000001,MeV
111Rh,45,66,111,11,s,symmetric,,,,,-5.9788199,MeV
110Rh,45,65,110,3.3,s,symmetric,,,,,-5.4773562,MeV
96Rh,45,51,96,9.57,m,symmetric,,,,,-3.1869451,MeV
95Rh,45,50,95,5.02,m,symmetric,,,,,-4.778875,MeV
102Rh,45,57,102,207.3,d,symmetric,,,,,-2.7760181,MeV
101Rh,45,56,101,4.07,y,symmetric,,,,,-2.6129074,MeV
104Rh,45,59,104,42.3,s,symmetric,,,,,-3.3633087,MeV
103Rh,45,58,103,STABLE,,,,,,,-3.1287521000000003,MeV
98Rh,45,53,98,8.74,m,symmetric,,,,,-1.4418027,MeV
97Rh,45,52,97,30.8,m,symmetric,,,,,-1.416364,MeV
100Rh,45,55,100,20.5,h,symmetric,,,,,-2.1943977,MeV
99Rh,45,54,99,16.1,d,symmetric,,,,,-1.9880826999999999,MeV
94Rh,45,49,94,70.6,s,symmetric,,,,,-4.607843,MeV
91Rh,45,46,91,1.47,s,symmetric,,,,,-3.3040000000000003,MeV
90Rh,45,45,90,29,ms,symmetric,,,,,-2.488,MeV
93Rh,45,48,93,12.2,s,symmetric,,,,,-4.0418688000000005,MeV
92Rh,45,47,92,5.64,s,symmetric,,,,,-3.7537096,MeV
89Rh,45,44,89,120,ns,limit,,,,,-2.226,MeV
88Rh,45,43,88,,,,,,,,-1.585,MeV
129Pd,46,83,129,31,ms,symmetric,,,,,-11.935,MeV
128Pd,46,82,128,36,ms,symmetric,,,,,-13.226,MeV
131Pd,46,85,131,,,,,,,,,
130Pd,46,84,130,,,,,,,,,
127Pd,46,81,127,38,ms,symmetric,,,,,-13.095,MeV
126Pd,46,80,126,48.6,ms,symmetric,,,,,-12.435,MeV
118Pd,46,72,118,1.9,s,symmetric,,,,,-7.5920606,MeV
117Pd,46,71,117,4.3,s,symmetric,,,,,-6.9809894,MeV
120Pd,46,74,120,492,ms,symmetric,,,,,-8.6356029,MeV
119Pd,46,73,119,0.88,s,symmetric,,,,,-7.7268974,MeV
116Pd,46,70,116,11.7,s,symmetric,,,,,-6.6250692,MeV
125Pd,46,79,125,64.2,ms,symmetric,,,,,-11.764000000000001,MeV
122Pd,46,76,122,195,ms,symmetric,,,,,-10.041,MeV
121Pd,46,75,121,290,ms,symmetric,,,,,-9.1173824,MeV
124Pd,46,78,124,94,ms,symmetric,,,,,-11.105,MeV
123Pd,46,77,123,109,ms,symmetric,,,,,-10.775,MeV
107Pd,46,61,107,6500000,y,symmetric,,,,,-3.5304021,MeV
106Pd,46,60,106,STABLE,,,,,,,-3.226024,MeV
109Pd,46,63,109,13.437,h,symmetric,,,,,-4.0968567,MeV
108Pd,46,62,108,STABLE,,,,,,,-3.8533676999999997,MeV
115Pd,46,69,115,25,s,symmetric,,,,,-6.0654124000000005,MeV
114Pd,46,68,114,2.42,m,symmetric,,,,,-5.8426333,MeV
111Pd,46,65,111,23.6,m,symmetric,,,,,-4.5482367,MeV
110Pd,46,64,110,STABLE,,,,,,,-4.4325678,MeV
113Pd,46,67,113,89,s,symmetric,,,,,-5.2769603,MeV
112Pd,46,66,112,21.027,h,symmetric,,,,,-5.0845511,MeV
96Pd,46,50,96,122,s,symmetric,,,,,-4.3071247,MeV
98Pd,46,52,98,17.7,m,symmetric,,,,,-1.1622991,MeV
97Pd,46,51,97,3.1,m,symmetric,,,,,-3.0140450999999997,MeV
104Pd,46,58,104,STABLE,,,,,,,-2.5926475,MeV
103Pd,46,57,103,17,d,symmetric,,,,,-2.2565112,MeV
105Pd,46,59,105,STABLE,,,,,,,-2.8847080000000003,MeV
100Pd,46,54,100,3.63,d,symmetric,,,,,-1.5572031,MeV
99Pd,46,53,99,21.4,m,symmetric,,,,,-1.1500184999999998,MeV
102Pd,46,56,102,STABLE,,,,,,,-2.1030075000000004,MeV
101Pd,46,55,101,8.47,h,symmetric,,,,,-1.7364963,MeV
93Pd,46,47,93,1.17,s,symmetric,,,,,-3.0373015,MeV
92Pd,46,46,92,1.06,s,symmetric,,,,,-2.864,MeV
95Pd,46,49,95,7.4,s,symmetric,,,,,-4.1509961,MeV
94Pd,46,48,94,9.4,s,symmetric,,,,,-3.6433953000000003,MeV
91Pd,46,45,91,32,ms,symmetric,,,,,-2.865,MeV
90Pd,46,44,90,,,,,,,,-2.364,MeV
132Ag,47,85,132,28,ms,asymmetric,,,,,-9.485,MeV
133Ag,47,86,133,,,,,,,,,
130Ag,47,83,130,41,ms,symmetric,,,,,-11.123000000000001,MeV
131Ag,47,84,131,35,ms,symmetric,,,,,-9.445,MeV
128Ag,47,81,128,66.6,ms,symmetric,,,,,-12.425,MeV
129Ag,47,82,129,52,ms,symmetric,,,,,-12.465,MeV
127Ag,47,80,127,89.1,ms,symmetric,,,,,-11.884,MeV
121Ag,47,74,121,0.781,s,symmetric,,,,,-7.9309884,MeV
122Ag,47,75,122,0.55,s,symmetric,,,,,-8.6441944,MeV
119Ag,47,72,119,6,s,symmetric,,,,,-6.841446299999999,MeV
120Ag,47,73,120,1.52,s,symmetric,,,,,-7.3406853000000005,MeV
117Ag,47,70,117,72.8,s,asymmetric,,,,,-5.8398901,MeV
118Ag,47,71,118,3.87,s,symmetric,,,,,-6.2684428,MeV
125Ag,47,78,125,176,ms,symmetric,,,,,-10.694720499999999,MeV
126Ag,47,79,126,52,ms,symmetric,,,,,-11.266,MeV
123Ag,47,76,123,300,ms,symmetric,,,,,-9.1706945,MeV
124Ag,47,77,124,182,ms,symmetric,,,,,-10.035,MeV
110Ag,47,63,110,24.56,s,symmetric,,,,,-3.5195657000000002,MeV
111Ag,47,64,111,7.421,d,symmetric,,,,,-3.7766517,MeV
108Ag,47,61,108,2.39,m,symmetric,,,,,-3.0723634000000004,MeV
109Ag,47,62,109,STABLE,,,,,,,-3.2930765,MeV
107Ag,47,60,107,STABLE,,,,,,,-2.79991,MeV
116Ag,47,69,116,3.83,m,symmetric,,,,,-5.236528000000001,MeV
114Ag,47,67,114,4.59,s,symmetric,,,,,-4.5270337,MeV
115Ag,47,68,115,20,m,symmetric,,,,,-5.1036316,MeV
112Ag,47,65,112,3.15,h,symmetric,,,,,-3.9774892,MeV
113Ag,47,66,113,5.37,h,symmetric,,,,,-4.4524897,MeV
99Ag,47,52,99,124,s,symmetric,,,,,-0.7967822999999999,MeV
100Ag,47,53,100,2.01,m,symmetric,,,,,-0.8751531,MeV
97Ag,47,50,97,25.5,s,symmetric,,,,,-4.317133300000001,MeV
98Ag,47,51,98,47.5,s,symmetric,,,,,-2.5837173,MeV
105Ag,47,58,105,41.29,d,symmetric,,,,,-2.0833363,MeV
106Ag,47,59,106,23.96,m,symmetric,,,,,-2.5839992,MeV
103Ag,47,56,103,65.8,m,symmetric,,,,,-1.6430966,MeV
104Ag,47,57,104,69.3,m,symmetric,,,,,-1.9502557999999999,MeV
101Ag,47,54,101,11.1,m,symmetric,,,,,-1.1617358,MeV
102Ag,47,55,102,12.9,m,symmetric,,,,,-1.4963989,MeV
96Ag,47,49,96,4.435,s,symmetric,,,,,-3.9374661,MeV
94Ag,47,47,94,27,ms,symmetric,,,,,-3.193,MeV
95Ag,47,48,95,1.81,s,symmetric,,,,,-3.761,MeV
92Ag,47,45,92,,,,,,,,-3.095,MeV
93Ag,47,46,93,228,ns,symmetric,,,,,-3.174,MeV
112Cd,48,64,112,STABLE,,,,,,,-3.4755578999999996,MeV
113Cd,48,65,113,8040000000000000,y,symmetric,,,,,-3.8617185,MeV
110Cd,48,62,110,STABLE,,,,,,,-2.8653425,MeV
111Cd,48,63,111,STABLE,,,,,,,-3.3045091,MeV
108Cd,48,60,108,STABLE,,,,,,,-2.2822156000000002,MeV
109Cd,48,61,109,461.98,d,symmetric,,,,,-2.5113416,MeV
116Cd,48,68,116,26805188488042156000,y,asymmetric,,,,,-4.8163654,MeV
117Cd,48,69,117,2.503,h,symmetric,,,,,-5.252813199999999,MeV
114Cd,48,66,114,STABLE,,,,,,,-4.1089454,MeV
115Cd,48,67,115,53.4,h,symmetric,,,,,-4.5235093,MeV
101Cd,48,53,101,1.36,m,symmetric,,,,,-0.455529,MeV
102Cd,48,54,102,5.5,m,symmetric,,,,,-0.763632,MeV
99Cd,48,51,99,17,s,symmetric,,,,,-2.3901348,MeV
100Cd,48,52,100,49.1,s,symmetric,,,,,-0.4360917,MeV
98Cd,48,50,98,9.3,s,symmetric,,,,,-3.9590601000000003,MeV
107Cd,48,59,107,6.52,h,symmetric,,,,,-1.9582611,MeV
105Cd,48,57,105,55.4,m,symmetric,,,,,-1.3266206,MeV
106Cd,48,58,106,STABLE,,,,,,,-1.6541057000000001,MeV
103Cd,48,55,103,7.5,m,symmetric,,,,,-0.8936807999999999,MeV
104Cd,48,56,104,57.8,m,symmetric,,,,,-1.1806348,MeV
96Cd,48,48,96,1.01,s,symmetric,,,,,-3.217,MeV
97Cd,48,49,97,1.16,s,symmetric,,,,,-4.1771333,MeV
94Cd,48,46,94,,,,,,,,-3.1550000000000002,MeV
95Cd,48,47,95,32,ms,symmetric,,,,,-3.311,MeV
134Cd,48,86,134,65,ms,symmetric,,,,,-9.155,MeV
135Cd,48,87,135,,,,,,,,-9.505,MeV
132Cd,48,84,132,84,ms,symmetric,,,,,-8.5,MeV
133Cd,48,85,133,61,ms,symmetric,,,,,-8.685,MeV
130Cd,48,82,130,129,ms,symmetric,,,,,-11.752,MeV
131Cd,48,83,131,98,ms,symmetric,,,,,-10.416,MeV
128Cd,48,80,128,245.9,ms,symmetric,,,,,-11.263,MeV
129Cd,48,81,129,151,ms,symmetric,,,,,-11.587,MeV
123Cd,48,75,123,2.1,s,symmetric,,,,,-8.4318221,MeV
124Cd,48,76,124,1.25,s,symmetric,,,,,-8.8447481,MeV
121Cd,48,73,121,13.5,s,symmetric,,,,,-7.0748628,MeV
122Cd,48,74,122,5.24,s,symmetric,,,,,-7.6489424,MeV
119Cd,48,71,119,2.69,m,symmetric,,,,,-5.9760325000000005,MeV
120Cd,48,72,120,50.8,s,symmetric,,,,,-6.5512549,MeV
118Cd,48,70,118,50.3,m,symmetric,,,,,-5.6362184,MeV
127Cd,48,79,127,0.45,s,asymmetric,,,,,-10.7363665,MeV
125Cd,48,77,125,680,ms,symmetric,,,,,-9.5906686,MeV
126Cd,48,78,126,512,ms,symmetric,,,,,-10.064474,MeV
137In,49,88,137,65,ms,asymmetric,,,,,-9.175,MeV
136In,49,87,136,85,ms,asymmetric,,,,,-8.995000000000001,MeV
135In,49,86,135,97,ms,symmetric,,,,,-8.785,MeV
134In,49,85,134,121,ms,symmetric,,,,,-8.497,MeV
133In,49,84,133,162,ms,symmetric,,,,,-8.245000000000001,MeV
132In,49,83,132,200,ms,symmetric,,,,,-10.126,MeV
131In,49,82,131,261,ms,symmetric,,,,,-11.8,MeV
130In,49,81,130,277,ms,symmetric,,,,,-11.611,MeV
129In,49,80,129,629,ms,symmetric,,,,,-10.7398656,MeV
126In,49,77,126,1.53,s,symmetric,,,,,-9.1281749,MeV
125In,49,76,125,2.36,s,symmetric,,,,,-8.4343928,MeV
124In,49,75,124,3.12,s,symmetric,,,,,-7.6411824,MeV
123In,49,74,123,6.17,s,symmetric,,,,,-7.208190800000001,MeV
122In,49,73,122,1.5,s,symmetric,,,,,-6.4424745,MeV
121In,49,72,121,23.1,s,symmetric,,,,,-6.0775908,MeV
120In,49,71,120,3.08,s,symmetric,,,,,-5.6099926,MeV
